id,title,link,price,location,description,main_image_url,scraped_at
103674,"Nyumba ya vyumba vitatu inapangishwa Mbweni, Dar Es Salaam",https://makazimapya.com/listings/nyumba-ya-vyumba-vitatu-inapangishwa-mbweni-dar-es-salaam/973d316f-b4b9-4fc6-8e4f-4f448f8e5181,"Sh.1,300,000","Mbweni, Kinondoni, Dar Es Salaam","21/10/2024
NYUMBA INAPANGISHWA
LOCATION MBWENI UBUNGO
VYUMBA VITATU KIMOJA MASTER BEDROOM DAINING SEBULE JIKO PABLICK TOILET MAJI UMEME PAVING BLOCK ELECTRIC FENCE
INA boy cota ya chumba Sebule jiko choo
Ukifika mil 1.3 inakuwa peke yako kwenye compaund
NYUMBA mpyaaa
BEI MIL 1,000,000 KWA MWEZI  mil1.3 unakaa peke yako kwenye compaund
MALIPO MIEZI 6 FIXED
CONTACT 0713355828 au 0616651976
SEVICE CHAGE ELFU 20",https://makazimapya.s3.amazonaws.com/public/ads/images/7bd96114-336c-4d2f-b422-26e3abbc6fd3.jpg,2025-09-13 11:17:34.953555+00
133229,"Kiwanja kinauzwa Pugu, Dar Es Salaam",https://makazimapya.com/listings/kiwanja-kinauzwa-pugu-dar-es-salaam/045234d7-e1ea-4e09-81e2-3a2e1833e94c,"Sh.95,000,000","Pugu, Ilala, Dar Es Salaam","KIWANJA KIKUBWA KINAUZWA (MIL 95) PUGU KINYAMWEZI
Kiwanja Kizuri Sana Kwa Uwekezaji Wa Apartment Na Business Centre
Umiliki: Mauziano Ya Serikali Ya Mtaa
Ukubwa Wa Eneo: SQM 7'000
Umbali: Meter 400 Tu Kutoka Barabara kuu Ya Lami
Mahali : Pugu Mapensheni / KAMAKA COMPANY
Bei : 95 Million (Maongezi Yapo)
Gharama Za Kwenda Site Ni Tshs 30,000/=
☎️0625 637254 ☎️ 0788 077337
.
.
Dll...Rbt..Marktn",https://makazimapya.s3.amazonaws.com/public/ads/images/8e57fa7c-d004-4973-8e9b-e37705629720.jpg,2025-11-05 11:01:34.514344+00
103676,"Nyumba/Apartment ya vyumba viwili inapangishwa Kilimanjaro, Kilimanjaro",https://makazimapya.com/listings/nyumbaapartment-ya-vyumba-viwili-inapangishwa-kilimanjaro-kilimanjaro/e56e88cf-15e3-4d8d-9fe9-0466c71d4ddd,"Sh.400,000","Kilimanjaro, Moshi CBD, Kilimanjaro","👇👇——————————————————————————————
APARTMENT NZUR SANA INAPANGISHWA
MAHALI:
️➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
KISASA.
——————————————————————————————
NYUMBA ILIVYO:
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
👉 Ina vyumba 2 tu vya kulala, 1 ni Master.
👉 Ina Sebule dining store Jiko na Public Toilets.
👉 Iko ndani ya fensi.
👉 Inajitegemea umeme na maji yake.
👉 Tanki za kuhifadhi maji ya ziada zipo.
👉 Heater za Maji moto zipo na electric fence
👉 Parking kubwa, Mazingira mazuri.
——————————————————————————————
MALIPO:
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
👉 Kodi 400,000 kwa mwezi, Malipo miezi 6.
👉 DALALI ATALIPWA NA MPANGAJI HELA YA MWEZI 1 TOFAUTI NA KODI YA NYUMBA.
👉 Gharama ya kwenda kuona nyumba ni 10,000. .
.
. 📲 #PIGA CM 0763459866 & WHATSAPP
——————————————————————————————
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#tanzania #dalalidodoma #dodoma #followforfollow #biashara #tanzaniaweddings #tanzaniawedding #mwanza #michezo #covi̇d19 #diamondplatnumz #fashionkenya #mbeya #gainwithspikes #gainwithmchina #kilimanjaro #siasa #daressalaam #finessngara #arusha #tumewasha #kigoma #gainwithlarrymemes #dodomawedding #bidhaatz #dalali #fujoisiyoumiza #covi̇d19 #uchaguzimkuu2020 #niyeye",https://makazimapya.s3.amazonaws.com/public/ads/images/c940c589-db19-4e10-bd09-6bdda62f7bac.jpg,2025-09-13 11:17:40.242307+00
136343,"Nyumba ya vyumba vinne inauzwa Mbagala, Dar Es Salaam",https://makazimapya.com/listings/nyumba-ya-vyumba-vinne-inauzwa-mbagala-dar-es-salaam/bd509598-3110-4c09-944c-06ced02b9d98,"Sh.39,000,000","Mbagala, Temeke, Dar Es Salaam",Nyumba inauzwa ipo mbagala chamazi Saku mwisho nyumba ya vyumba 4vya Kulala masters bedroom stingiroom kitchen toilet Public nyumba umeme upo Maji yapo bei ml 39,https://makazimapya.s3.amazonaws.com/public/ads/images/693b2461-b1a7-4ba9-8942-70da1cde46fe.jpg,2025-11-13 20:21:34.227407+00
103678,"Nyumba/Apartment ya vyumba viwili inapangishwa Kilimanjaro, Kilimanjaro",https://makazimapya.com/listings/nyumbaapartment-ya-vyumba-viwili-inapangishwa-kilimanjaro-kilimanjaro/2f686a9b-6617-49f4-b996-37c8b324809b,"Sh.500,000","Kilimanjaro, Moshi CBD, Kilimanjaro","👇👇——————————————————————————————
APARTMENT MPYAAA NZUR SANA INAPANGISHWA ZIKO 4 KWENYE FENCE MOJA
MAHALI:
️➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
MLIMWA C / NYUMA YA UN
——————————————————————————————
NYUMBA ILIVYO:
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
👉 Ina vyumba 2 tu vya kulala, 1 ni Master.
👉 Ina Sebule, Jiko na Public Toilets.
👉 Zipo apartments 4 kwenye fence
👉 Inajitegemea umeme na maji yake.
👉 Tanki za kuhifadhi maji ya ziada zipo.
👉 Heater za Maji moto zipo na electric fence
👉 Parking kubwa, Mazingira mazuri.
——————————————————————————————
MALIPO:
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
👉 Kodi 500,000 kwa mwezi, Malipo miezi 6.
👉 DALALI ATALIPWA NA MPANGAJI HELA YA MWEZI 1 TOFAUTI NA KODI YA NYUMBA.
👉 Gharama ya kwenda kuona nyumba ni 10,000. .
.
. 📲 #PIGA CM 0763459866 & WHATSAPP
——————————————————————————————
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#tanzania #dalalidodoma #dodoma #followforfollow #biashara #tanzaniaweddings #tanzaniawedding #mwanza #michezo #covi̇d19 #diamondplatnumz #fashionkenya #mbeya #gainwithspikes #gainwithmchina #kilimanjaro #siasa #daressalaam #finessngara #arusha #tumewasha #kigoma #gainwithlarrymemes #dodomawedding #bidhaatz #dalali #fujoisiyoumiza #covi̇d19 #uchaguzimkuu2020 #niyeye",https://makazimapya.s3.amazonaws.com/public/ads/images/0dc6db3c-da89-4d9d-8283-acf2fbe342b0.jpg,2025-09-13 11:17:45.150846+00
103704,"Kiwanja kinauzwa Mawasiliano, Morogoro",https://makazimapya.com/listings/kiwanja-kinauzwa-mawasiliano-morogoro/b68fd20f-3e57-4892-9d72-f1269b559158,"Sh.14,000,000","Mawasiliano, Ulanga, Morogoro","KIWANJA KINAUZWA PAKALI SANA
__________________________________
MAHALI-IYUMBUU WEST  PAKALI SANA)
_______
UMBALI TOKA TOWN-8km
_______
UKUBWA-600sqm
________
KIWANJA KIZURI SANA KWA KUJENGA. APPATEMENT
_______
BEI-14ml
________
MAWASILIANO
0782 1652 55
0673535794",https://makazimapya.s3.amazonaws.com/public/ads/images/9c6dd361-1615-43e1-a621-599db67ce875.jpg,2025-09-13 11:18:54.546876+00
138903,"Nyumba ya vyumba viwili inapangishwa Kimara, Dar Es Salaam",https://makazimapya.com/listings/nyumba-ya-vyumba-viwili-inapangishwa-kimara-dar-es-salaam/9f40f211-f3e6-4dc9-840e-f35e981e8150,"Sh.500,000","Kimara, Ubungo, Dar Es Salaam","APARTMENT 2  NDANI YA FENCE MOJA ZINA PANGISHWA KIMARA BARUTI
DK15 KWA MIGUU KUTOKA LAMI
------
Vyumba 2 vya kulala kimoja master bedroom
Seble kubwa
Jiko kubwa la kisasa lina makabati
Public toilet
Full air condition
Maji yana flow
Ndani ya fence
Parking space kubwa
------
Service charge 15,000/=
Kodi 500,000x6
-------
Malipo ya dalali ya mwezi mmoja ambayo ni laki 5
--------
Contact
#0693__673010
#0676_218580(WhatsApp)
#dalali_big__kimara🇹🇿
#KIUMBE_REAL_ESTATE_AGENT
EPUKA MATAPELI FANYA KAZI NA MADALALI WENYE OFFICE NA WALIYO SAJILIWA 🙏",https://makazimapya.s3.amazonaws.com/public/ads/images/305d11e8-4c74-4334-bb11-5e33727c8004.jpg,2025-11-16 20:19:11.095148+00
133230,"Nyumba ya vyumba vitano inauzwa Chanika, Dar Es Salaam",https://makazimapya.com/listings/nyumba-ya-vyumba-vitano-inauzwa-chanika-dar-es-salaam/ecd04c9c-f473-4bd2-a3ec-43f10ad675c3,"Sh.50,000","Chanika, Ilala, Dar Es Salaam","NYUMBA VYUMBA 5, KIWANJA SQM,3,500 SQM, TSHS.89 MILIONI,CHANIKA-NGUVUMALI/YONGWE.
Kiwanja kina ukubwa wa SQM. 3,500.
Umiliki ni HATI (Title Deed) ya Wizara.
Vyumba 5 ( 4 Vyoo ndani)
Sebule, Jiko, Dining-room,
Store na Choo cha Familia ndani.
Umaliziaji mdogo tu umebaki.
Umeme upo jirani.
______________
ANGALIZO:
Malipo ya Dalali ni 10%
Kuona ni Tshs.50,000.
(Unalipa wewe MNUNUZI)
Tafadhali wasiliana nami iwapo tu unaridhia taratatibu zangu.
+255 714 591 548
______________mskv",https://makazimapya.s3.amazonaws.com/public/ads/images/8de52ba4-cf5d-48e7-b5a8-90ba55d95fe0.jpg,2025-11-05 11:01:56.306734+00
103680,"Nyumba inapangishwa Nzuguni, Dodoma",https://makazimapya.com/listings/nyumba-inapangishwa-nzuguni-dodoma/81f770c9-f971-4dab-a43a-3c2c3b85e147,"Sh.150,000","Nzuguni, Dodoma, Dodoma","👇👇——————————————————————————————
CHUMBA MASTER SEBULE NA JIKO NZUR SANA INAPANGISHWA
MAHALI:
️➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
NZUGUNI/ SHULE YA MSINGI
——————————————————————————————
NYUMBA ILIVYO:
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
👉 Iko ndani ya fensi.
👉 Inajitegemea umeme na maji yake
👉 Parking kubwa, Mazingira mazuri.
——————————————————————————————
MALIPO:
➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖
👉 Kodi 150,000 kwa mwezi,
👉 DALALI ATALIPWA NA MPANGAJI HELA YA MWEZI 1 TOFAUTI NA KODI YA NYUMBA.
👉 Gharama ya kwenda kuona nyumba ni  10,000
.
. 📲 PIGA CM 0763459866 & WHATSAPP
——————————————————————————————
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#tanzania #dalalidodoma #dodoma #followforfollow #biashara #tanzaniaweddings #tanzaniawedding #mwanza #michezo #covi̇d19 #diamondplatnumz #fashionkenya #mbeya #gainwithspikes #gainwithmchina #kilimanjaro #siasa #daressalaam #finessngara #arusha #tumewasha #kigoma #gainwithlarrymemes #dodomawedding #bidhaatz #dalali #fujoisiyoumiza #covi̇d19 #uchaguzimkuu2020 #niyeye",https://makazimapya.s3.amazonaws.com/public/ads/images/5759889f-cb8a-40fd-80cf-5024d699fbef.jpg,2025-09-13 11:17:50.061218+00
136344,"Nyumba ya vyumba vitatu inauzwa Mbagala, Dar Es Salaam",https://makazimapya.com/listings/nyumba-ya-vyumba-vitatu-inauzwa-mbagala-dar-es-salaam/85dadbcf-ed4d-4ed8-b5c9-225b9d226b14,"Sh.115,000,000","Mbagala, Temeke, Dar Es Salaam","Nyumba Nzuri Sana Inauzwa  Tsh Million 115 tu
Ni nyumba Mpya
Nyumba Ipo Mbagala ChamazJiji la dar es salaam Wliaya ya temeke kata ya Chamaz mtaa wa msufini
Vyumba vipo vitatu vya kulala kimoja ni master bedroom
Ina stting room na Dining room Ina jiko na store Ina public toilet 🚻 Ina maji  kisima umeme, Electric Fance
Njoo 🏃‍♀️‍➡️ boss wangu nkuzie hii nyumba nzuri sana BEI MILION 115 Maongezi Yapo",https://makazimapya.s3.amazonaws.com/public/ads/images/18883df2-4edc-4a2f-a05f-97c0710cc397.jpg,2025-11-13 20:21:38.286355+00
